"","ID","Drug","MOSE","M378","SpecificToMOSE","SpecificToM378"
"330","B1854","Ticarcillin sodium",0.971367061,1.008414239,"Not Specific","Not Specific"
"331","B1856","Tobramycin",1.112594187,0.942394822,"Not Specific","Not Specific"
"332","B1858","Tranexamic Acid",1.457050592,1.03171521,"Not Specific","Not Specific"
"333","B1863","Uracil",1.255543595,0.954045307,"Not Specific","Not Specific"
"334","B1865","Valnemulin HCl",1.234876211,1.084789644,"Not Specific","Not Specific"
"335","B1868","Vitamin A Acetate",1.234876211,0.849190939,"Not Specific","Not Specific"
"336","B1870","Voglibose",1.333046286,0.947572816,"Not Specific","Not Specific"
"337","B1873","4-Aminohippuric Acid",1.069537137,0.910032362,"Not Specific","Not Specific"
"338","B1877","Adenosine",1.078148547,1.066666667,"Not Specific","Not Specific"
"339","B1885","Amphotericin B",1.103982777,0.92038835,"Not Specific","Not Specific"
"340","B1893","Azlocillin sodium salt",1.13153929,0.996763754,"Not Specific","Not Specific"
"341","B1895","Besifloxacin HCl",1.002368138,0.994174757,"Not Specific","Not Specific"
"342","B1901","Butenafine HCl",1.102260495,1.074433657,"Not Specific","Not Specific"
"343","B1906","Cefoselis Sulfate",1.14876211,0.950161812,"Not Specific","Not Specific"
"344","B1907","Ceftiofur HCl",1.116038751,0.932038835,"Not Specific","Not Specific"
"345","B1908","Chenodeoxycholic Acid",1.179763186,0.921682848,"Not Specific","Not Specific"
"346","B1910","Chloroxine",0.948977395,0.406472492,"Not Specific","Specific"
"347","B1913","Clindamycin HCl",1.114316469,0.960517799,"Not Specific","Not Specific"
"348","B1918","Cloxacillin Sodium",1.078148547,0.897087379,"Not Specific","Not Specific"
"349","B1919","Cortisone acetate",0.993756728,0.908737864,"Not Specific","Not Specific"
"350","B1922","Cyclosporin A",0.897308934,0.696440129,"Not Specific","Not Specific"
"351","B1923","Cytidine",1.060925727,0.951456311,"Not Specific","Not Specific"
"352","B1925","Deoxyarbutin",1.067814855,0.902265372,"Not Specific","Not Specific"
"353","B1926","Dexamethasone acetate",1.125620466,0.835496529,"Not Specific","Not Specific"
"354","B1927","Diclazuril",1.07674685,0.827044974,"Not Specific","Not Specific"
"355","B1931","Dimethyl Fumarate",0.98358152,0.833081799,"Not Specific","Not Specific"
"356","B1932","Diphenhydramine HCl",0.946926308,0.798068216,"Not Specific","Not Specific"
"357","B1934","DL-Carnitine HCl",0.948453608,0.8089345,"Not Specific","Not Specific"
"358","B1937","Econazole nitrate",0.821687667,0.754603079,"Not Specific","Not Specific"
"359","B1939","Erythromycin",0.83085147,0.81617869,"Not Specific","Not Specific"
"360","B1940","Erythromycin Ethylsuccinate",0.833906071,0.772713553,"Not Specific","Not Specific"
"361","B1941","Estradiol Benzoate",0.786559756,0.846362813,"Not Specific","Not Specific"
"362","B1949","Guanidine HCl",0.9224895,0.817386055,"Not Specific","Not Specific"
"363","B1951","Hydrocortisone",0.86292478,0.805312406,"Not Specific","Not Specific"
"364","B1954","Inulin",1.105765559,0.999698159,"Not Specific","Not Specific"
"365","B1955","Isepamicin Sulphate",1.011072929,1.161485059,"Not Specific","Not Specific"
"366","B1959","Levofloxacin",1.003436426,0.939329912,"Not Specific","Not Specific"
"367","B1960","Levonorgestrel",0.885834288,0.964684576,"Not Specific","Not Specific"
"368","B1962","Lincomycin HCl",0.934707904,1.011771808,"Not Specific","Not Specific"
"369","B1966","Menadione",1.029400535,0.946574102,"Not Specific","Not Specific"
"370","B1967","Mepivacaine HCl",0.957617411,0.921219439,"Not Specific","Not Specific"
"371","B1968","Mequinol",0.963726613,0.927256263,"Not Specific","Not Specific"
"372","B1969","Mesalamine",0.917907598,0.962269846,"Not Specific","Not Specific"
"373","B1971","Methacycline HCl",0.957617411,0.971928765,"Not Specific","Not Specific"
"374","B1976","Metronidazole",0.962199313,1.011771808,"Not Specific","Not Specific"
"375","B1977","Miconazole",1.140893471,0.97555086,"Not Specific","Not Specific"
"376","B1978","Miconazole Nitrate",0.974417717,0.952610927,"Not Specific","Not Specific"
"377","B1981","Mycophenolic acid",0.416953036,0.597645638,"Not Specific","Not Specific"
"378","B1982","Nadifloxacin",0.917907598,0.849984908,"Not Specific","Not Specific"
"379","B1983","Nafcillin Sodium",0.927071401,0.905523695,"Not Specific","Not Specific"
"380","B1985","Nalidixic acid",0.884306987,0.891035315,"Not Specific","Not Specific"
"381","B1987","Nicotinic Acid",0.847651775,0.922426804,"Not Specific","Not Specific"
"382","B1990","Noradrenaline bitartrate monohydrate",0.907216495,0.952610927,"Not Specific","Not Specific"
"383","B1992","Novobiocin Sodium",0.855288278,0.722004226,"Not Specific","Not Specific"
"384","B1993","Nystatin (Fungicidin)",0.905689194,1.043163296,"Not Specific","Not Specific"
"385","B1995","(+,-)-Octopamine HCl",0.89347079,0.962269846,"Not Specific","Not Specific"
"386","B1996","Ornidazole",1.157693776,0.956233021,"Not Specific","Not Specific"
"387","B1997","Oxacillin sodium monohydrate",0.927071401,0.933293088,"Not Specific","Not Specific"
"388","B2000","Oxytetracycline (Terramycin)",0.948453608,0.939329912,"Not Specific","Not Specific"
"389","B2001","Oxytetracycline Dihydrate",0.89347079,0.912767884,"Not Specific","Not Specific"
"390","B2003","Pefloxacin Mesylate",0.875143184,0.89224268,"Not Specific","Not Specific"
"391","B2012","Prednisolone",0.888888889,0.824630244,"Not Specific","Not Specific"
"392","B2015","Probucol",0.884306987,0.82100815,"Not Specific","Not Specific"
"393","B2017","Pyridoxine HCl",0.936235204,0.932085723,"Not Specific","Not Specific"
"394","B2019","Retapamulin",0.885834288,1.178388168,"Not Specific","Not Specific"
"395","B2020","Ribitol",0.824742268,0.963477211,"Not Specific","Not Specific"
"396","B2021","Rifampin",0.905689194,0.843948083,"Not Specific","Not Specific"
"397","B2024","Roxithromycin",1.160748377,0.875339571,"Not Specific","Not Specific"
"398","B2028","Sodium salicylate",0.899579992,0.934500453,"Not Specific","Not Specific"
"399","B2029","Sorbitol",1.004963727,0.953818292,"Not Specific","Not Specific"
"400","B2030","Sparfloxacin",0.945399007,0.905523695,"Not Specific","Not Specific"
"401","B2034","Streptomycin sulfate",0.882779687,0.910353154,"Not Specific","Not Specific"
"402","B2037","Sulfamerazine",0.835433372,0.895864775,"Not Specific","Not Specific"
"403","B2038","Sulfameter",0.818633066,0.900694235,"Not Specific","Not Specific"
"404","B2039","Sulfamethizole",0.818633066,0.846362813,"Not Specific","Not Specific"
"405","B2040","Sulfamethoxazole",0.803360061,0.932085723,"Not Specific","Not Specific"
"406","B2041","Sulfanilamide",0.803360061,0.969514036,"Not Specific","Not Specific"
"407","B2042","Sulfathiazole",0.928598702,1.014186538,"Not Specific","Not Specific"
"408","B2043","Sulfisoxazole",1.113402062,0.952610927,"Not Specific","Not Specific"
"409","B2049","Tilmicosin",0.994272623,0.89948687,"Not Specific","Not Specific"
"410","B2050","Tinidazole",1.024818633,0.952610927,"Not Specific","Not Specific"
"411","B2051","Tioconazole",0.881252386,0.924841533,"Not Specific","Not Specific"
"412","B2053","Tolnaftate",0.930126002,0.913975249,"Not Specific","Not Specific"
"413","B2054","Toltrazuril",0.872088583,0.89948687,"Not Specific","Not Specific"
"414","B2057","Trimethoprim",0.908743795,0.880169031,"Not Specific","Not Specific"
"415","B2059","Tylosin tartrate",0.896525391,0.918804709,"Not Specific","Not Specific"
"416","B2061","Valaciclovir HCl",0.809469263,0.907938424,"Not Specific","Not Specific"
"417","B2062","Vidarabine",0.836960672,1.118019922,"Not Specific","Not Specific"
"418","B2063","Vitamin B12",0.943871707,1.016601268,"Not Specific","Not Specific"
"419","B2064","Vitamin C",1.140893471,0.945366737,"Not Specific","Not Specific"
"420","B2065","Vitamin D3",1.073692249,0.947781467,"Not Specific","Not Specific"
"421","B2067","Xylose",1.124093165,0.942952007,"Not Specific","Not Specific"
"422","B2070","5-Aminolevulinic acid HCl",1.04620084,0.905523695,"Not Specific","Not Specific"
"423","B2072","Acipimox",1.029400535,0.880169031,"Not Specific","Not Specific"
"424","B2076","(6-)ε-Aminocaproic acid",1.050782742,0.935707818,"Not Specific","Not Specific"
"425","B2077","Amorolfine HCl",0.982054219,0.852399638,"Not Specific","Not Specific"
"426","B2086","Cefditoren Pivoxil",1.008018328,0.909145789,"Not Specific","Not Specific"
"427","B2090","D-Mannitol",0.905689194,0.88982795,"Not Specific","Not Specific"
"428","B2094","Fluconazole",0.930126002,0.969514036,"Not Specific","Not Specific"
"429","B2103","Idebenone",0.933180603,0.939329912,"Not Specific","Not Specific"
"430","B2104","Itraconazole",0.684230622,0.592816179,"Not Specific","Not Specific"
"431","B2106","Loteprednol etabonate",1.147002673,0.874132206,"Not Specific","Not Specific"
"432","B2107","L-Thyroxine",1.098129057,0.903108965,"Not Specific","Not Specific"
"433","B2109","Mecarbinate",1.012600229,0.88982795,"Not Specific","Not Specific"
"434","B2117","Pioglitazone",1.052310042,0.852399638,"Not Specific","Not Specific"
"435","B2119","Prilocaine",1.10729286,0.880169031,"Not Specific","Not Specific"
"436","B2123","Quinine HCl Dihydrate",1.128675067,0.870510112,"Not Specific","Not Specific"
"437","B2126","Rifabutin",0.98510882,0.665258074,"Not Specific","Not Specific"
"438","B2127","Rifapentine",0.974417717,0.744944159,"Not Specific","Not Specific"
"439","B2131","Sulbactam",0.963726613,0.895864775,"Not Specific","Not Specific"
"440","B2132","Sulfamethazine",1.000381825,0.906731059,"Not Specific","Not Specific"
"441","B2135","Ursodiol",1.057356608,0.889514426,"Not Specific","Not Specific"
"442","B2141","Calcitriol",0.828697487,0.948627727,"Not Specific","Not Specific"
"443","B2143","Tacrolimus (FK506)",0.960675235,0.904996481,"Not Specific","Not Specific"
"444","B2145","Fosaprepitant dimeglumine salt",0.733550739,0.876847291,"Not Specific","Not Specific"
"445","B2148","Prednisone",0.825628237,0.876847291,"Not Specific","Not Specific"
"446","B2150","Sitafloxacin Hydrate",0.759639363,0.752990852,"Not Specific","Not Specific"
"447","B2154","Alprostadil",0.822558987,0.896551724,"Not Specific","Not Specific"
"448","B2156","Bindarit",0.738154613,0.843068262,"Not Specific","Not Specific"
"449","B2157","Cabazitaxel",0.563207366,0.63617171,"Not Specific","Not Specific"
"450","B2229","Palonosetron HCl",0.810281987,0.864180155,"Not Specific","Not Specific"
"451","B2270","Ouabain",0.839439862,0.854327938,"Not Specific","Not Specific"
"452","B2274","Proparacaine HCl",0.991367735,0.850105559,"Not Specific","Not Specific"
"453","B2276","Vinpocetine",0.860924612,0.802251935,"Not Specific","Not Specific"
"454","B2279","Oxcarbazepine",0.850182237,0.875439831,"Not Specific","Not Specific"
"455","B2280","Rufinamide",0.851716862,1.014778325,"Not Specific","Not Specific"
"456","B2285","Daunorubicin HCl",0.405140994,0.295566502,"Not Specific","Not Specific"
"457","B2290","Beta-Lapachone",0.274697871,0.433497537,"Specific","Not Specific"
"458","B2293","Irinotecan HCl Trihydrate",0.790331863,0.828993666,"Not Specific","Not Specific"
"459","B2295","Pirarubicin",0.498753117,0.866995074,"Specific","Not Specific"
"460","B2296","Topotecan HCl",0.515633992,0.827586207,"Specific","Not Specific"
"461","B3041","BTB06584",0.817955112,1.066854328,"Not Specific","Not Specific"
"462","B3255","Meisoindigo",0.888547861,0.948627727,"Not Specific","Not Specific"
"463","B3301","Sulfadimethoxine",1.045079609,0.821956369,"Not Specific","Not Specific"
"464","B3304","ATP disodium salt",0.910032611,1.145672062,"Not Specific","Not Specific"
"465","B3342","Spectinomycin dihydrochloride",0.810281987,0.989444053,"Not Specific","Not Specific"
"466","B3361","Amoxicillin trihydrate",0.798004988,1.014778325,"Not Specific","Not Specific"
"467","B3370","Arecoline hydrobromide",0.753500863,0.913441239,"Not Specific","Not Specific"
"468","B3379","Verbascoside",0.782658738,0.954257565,"Not Specific","Not Specific"
"469","B3403","Miglustat",0.724342989,0.944405348,"Not Specific","Not Specific"
"470","B3404","Methylcobalamin",0.558603491,0.740323716,"Not Specific","Not Specific"
"471","B3433","Flavoxate hydrochloride",0.735085364,0.961294863,"Not Specific","Not Specific"
"472","B3435","Procaine",0.719739114,1.019000704,"Not Specific","Not Specific"
"473","B3440","Nicergoline",0.774985613,0.962702322,"Not Specific","Not Specific"
"474","B3448","Dapsone",0.811816612,0.837438424,"Not Specific","Not Specific"
"475","B3464","Eicosapentaenoic Acid",0.801074237,0.975369458,"Not Specific","Not Specific"
"476","B3471","Medroxyprogesterone",0.782658738,0.976776918,"Not Specific","Not Specific"
"477","B3484","Misoprostol",0.796470363,0.927515834,"Not Specific","Not Specific"
"478","B3490","Eptifibatide",0.741223863,0.868402533,"Not Specific","Not Specific"
"479","B3492","Bedaquiline",0.779589488,0.862772695,"Not Specific","Not Specific"
"480","B3513","Ademetionine",0.784193363,1.016185785,"Not Specific","Not Specific"
"481","B3519","Cefepime Dihydrochloride Monohydrate",0.784193363,0.966924701,"Not Specific","Not Specific"
"482","B3527","Nitisinone",0.771916363,0.875439831,"Not Specific","Not Specific"
"483","B3532","Acetaminophen",0.728946864,0.962702322,"Not Specific","Not Specific"
"484","B3539","Ceftazidime",0.747362363,0.919071077,"Not Specific","Not Specific"
"485","B3583","TRO 19622",1.051218109,0.851513019,"Not Specific","Not Specific"
"486","B3611","Moxidectin",0.837905237,1.071076707,"Not Specific","Not Specific"
"487","B3661","(+)-Usniacin",0.805678112,0.99929627,"Not Specific","Not Specific"
"488","B3662","Artesunate",0.561672741,0.785362421,"Not Specific","Not Specific"
"489","B3663","Azomycin",0.787262613,0.866995074,"Not Specific","Not Specific"
"490","B3664","Cinchonidine",0.781124113,0.885292048,"Not Specific","Not Specific"
"491","B3667","Indole-3-carbinol",0.796470363,0.871217452,"Not Specific","Not Specific"
"492","B3668","Sodium Monensin",0.596969116,0.615059817,"Not Specific","Not Specific"
"493","B3672","Indirubin",0.801074237,0.852920479,"Not Specific","Not Specific"
"494","B3673","Ipriflavone (Osteofix)",0.781124113,0.888106967,"Not Specific","Not Specific"
"495","B3674","Hypoxanthine",0.883943986,0.962702322,"Not Specific","Not Specific"
"496","B3675","Apocynin",1.149434107,0.959887403,"Not Specific","Not Specific"
"497","B3676","Rotundine",0.926913486,1.085151302,"Not Specific","Not Specific"
"498","B3677","Inosine",0.850182237,1.007741027,"Not Specific","Not Specific"
"499","B3679","Vanillin",0.801074237,0.944405348,"Not Specific","Not Specific"
"500","B3680","Griseofulvin",0.834835987,0.889514426,"Not Specific","Not Specific"
"501","B3681","Cyromazine",0.782658738,0.895144265,"Not Specific","Not Specific"
"502","B4721","2'-Deoxyguanosine",0.758104738,0.9078114,"Not Specific","Not Specific"
"503","B4723","Oxytocin acetate",0.827162862,0.928923293,"Not Specific","Not Specific"
"504","B4724","Pneumocandin B0",0.798004988,0.957072484,"Not Specific","Not Specific"
"505","B4725","Buparvaquone",0.887013236,0.942997889,"Not Specific","Not Specific"
"506","B4745","(S)-10-Hydroxycamptothecin",0.550930366,0.712174525,"Not Specific","Not Specific"
"507","B4782","Epibrassinolide",1.104929983,1.049964814,"Not Specific","Not Specific"
"508","B4790","Phosphoramidon Disodium Salt",0.906963361,1.079521464,"Not Specific","Not Specific"
"509","B4794","Santacruzamate A (CAY10683)",0.847112987,1.026038001,"Not Specific","Not Specific"
"510","B4869","Cyclocytidine HCl",0.598503741,0.886699507,"Not Specific","Not Specific"
"511","B4872","Mupirocin",0.801074237,0.928923293,"Not Specific","Not Specific"
"512","B4883","Abscisic Acid (Dormin)",0.862459237,0.96973962,"Not Specific","Not Specific"
"513","B4958","Tobramycin Sulfate",0.817955112,0.84729064,"Not Specific","Not Specific"
"514","B4964","(-)-epicatechin",0.885478611,0.954257565,"Not Specific","Not Specific"
"515","B4965","(-)-epicatechin gallate",0.879340111,0.913441239,"Not Specific","Not Specific"
"516","B4973","Cefpodoxime Proxetil",0.844043737,0.973961999,"Not Specific","Not Specific"
"517","B4978","Glatiramer acetate",0.925378861,0.980999296,"Not Specific","Not Specific"
"518","B4980","Pentamidine isethionate",1.146364857,1.019000704,"Not Specific","Not Specific"
"519","B5054","Picrotoxin",1.084979858,1.051372273,"Not Specific","Not Specific"
"520","B5462","Rotenone",0.66909649,0.833216045,"Not Specific","Not Specific"
"521","B5484","7,8-Dihydroxyflavone",0.992902359,0.966924701,"Not Specific","Not Specific"
"522","B5734","3-Nitropropionic acid",1.098791483,0.903589022,"Not Specific","Not Specific"
"523","B5804","J 147",0.991367735,0.868402533,"Not Specific","Not Specific"
"524","B5850","GS967",1.015921734,0.933145672,"Not Specific","Not Specific"
"525","B5918","Solithromycin",0.902359486,0.923293455,"Not Specific","Not Specific"
"526","B5928","INCB032304",0.919240361,0.937368051,"Not Specific","Not Specific"
"527","B5954","Dasatinib Monohydrate",0.418952618,0.409570725,"Not Specific","Not Specific"
"528","B5961","Cytosporone B",1.042010359,0.973961999,"Not Specific","Not Specific"
"529","B5970","Sanguinarine chloride",0.309904153,0.234653258,"Not Specific","Not Specific"
"530","B5971","Triacetyl Resveratrol",0.899361022,0.900481877,"Not Specific","Not Specific"
"531","B5983","MN 64",1.025559105,0.812486906,"Not Specific","Not Specific"
"532","B5985","3-Indolebutyric acid (IBA)",0.832268371,0.828619317,"Not Specific","Not Specific"
"533","B5986","Enoxolone",0.853035144,0.806620574,"Not Specific","Not Specific"
"534","B5988","Troxerutin",0.809904153,0.85061806,"Not Specific","Not Specific"
"535","B5990","Diosmetin",0.651757188,0.740624345,"Not Specific","Not Specific"
"536","B5992","Astragaloside A",0.990415335,0.783155248,"Not Specific","Not Specific"
"537","B5993","N6-methyladenosine (m6A)",0.971246006,0.750890425,"Not Specific","Not Specific"
"538","B5995","Calcium D-Panthotenate",0.849840256,0.808087157,"Not Specific","Not Specific"
"539","B6001","4-Methylumbelliferone (4-MU)",1.041533546,0.805153991,"Not Specific","Not Specific"
"540","B6010","Coelenterazine",1.119808307,0.935679866,"Not Specific","Not Specific"
"541","B6040","D-Luciferin",0.878594249,0.998742929,"Not Specific","Not Specific"
"542","B6049","Tedizolid HCl",0.814696486,1.063272575,"Not Specific","Not Specific"
"543","B6068","Deferoxamine mesylate",0.861022364,0.91221454,"Not Specific","Not Specific"
"544","B6105","Tizoxanide",0.768370607,0.987010266,"Not Specific","Not Specific"
"545","B6123","S-Adenosylhomocysteine",0.760383387,1.066205741,"Not Specific","Not Specific"
"546","B6126","17-Hydroxyprogesterone",0.857827476,1.017808506,"Not Specific","Not Specific"
"547","B6135","Nitroxoline",0.722044728,0.630630631,"Not Specific","Not Specific"
"548","B6149","Eugenol",0.875399361,1.053006495,"Not Specific","Not Specific"
"549","B6152","Benzamide",0.800319489,1.079404986,"Not Specific","Not Specific"
"550","B6153","Isatin",0.752396166,1.119002724,"Not Specific","Not Specific"
"551","B6155","Lauric Acid",1.011182109,1.055939661,"Not Specific","Not Specific"
"552","B6227","Kynurenic acid",0.92971246,0.97381102,"Not Specific","Not Specific"
"553","B6228","Quinolinic acid",0.85942492,0.931280117,"Not Specific","Not Specific"
"554","B6233","O-Phospho-L-serine",0.814696486,0.906348209,"Not Specific","Not Specific"
"555","B6298","Bromocriptine mesylate",0.782747604,0.693693694,"Not Specific","Not Specific"
"556","B6385","D-erythro-Sphingosine (synthetic)",0.856230032,0.959145192,"Not Specific","Not Specific"
"557","B6444","L-NMMA acetate",0.771565495,0.979677352,"Not Specific","Not Specific"
"558","B6470","Agmatine sulfate",0.876996805,0.919547454,"Not Specific","Not Specific"
"559","B6485","Palmitoylethanolamide",0.821086262,0.906348209,"Not Specific","Not Specific"
"560","B6522","Spermine tetrahydrochloride",0.881789137,0.929813534,"Not Specific","Not Specific"
"561","B6523","Spermidine trihydrochloride",0.797124601,1.013408758,"Not Specific","Not Specific"
"562","B6586","(-)-Lobeline hydrochloride",1.031948882,0.982610517,"Not Specific","Not Specific"
"563","B6674","Anisomycin",0.3514377,0.671694951,"Specific","Not Specific"
"564","B6764","Combretastatin A4",0.476038339,0.684894197,"Not Specific","Not Specific"
"565","B6943","Exendin-3 (9-39) amide",0.765175719,0.866750471,"Not Specific","Not Specific"
"566","B7005","Prostaglandin E2",0.758785942,0.827152734,"Not Specific","Not Specific"
"567","B7085","Cardamonin",0.864217252,0.796354494,"Not Specific","Not Specific"
"568","B7174","DCA",0.771565495,0.913681123,"Not Specific","Not Specific"
"569","B7201","α-Estradiol",0.669329073,0.89168238,"Not Specific","Not Specific"
"570","B7239","Sarcosine",0.813099042,0.849151477,"Not Specific","Not Specific"
"571","B7271","Gallein",0.785942492,0.896082129,"Not Specific","Not Specific"
"572","B7278","UDP disodium salt",0.798722045,0.97381102,"Not Specific","Not Specific"
"573","B7297","Citric acid",1.146964856,1.108736644,"Not Specific","Not Specific"
"574","B7298","Sodium citrate",0.89456869,0.915147706,"Not Specific","Not Specific"
"575","B7336","Thiostrepton",0.575079872,0.618897968,"Not Specific","Not Specific"
"576","B7341","Canrenone",0.774760383,0.825686151,"Not Specific","Not Specific"
"577","B7376","Biocytin",0.821086262,0.865283889,"Not Specific","Not Specific"
"578","B7407","Insulin (human) recombinant expressed in yeast",0.765175719,0.877016551,"Not Specific","Not Specific"
"579","B7431","Z-Guggulsterone",0.777955272,0.877016551,"Not Specific","Not Specific"
"580","B7438","Estropipate",0.841853035,0.844751728,"Not Specific","Not Specific"
"581","B7446","Tramiprosate",0.846645367,0.828619317,"Not Specific","Not Specific"
"582","B7456","Allopregnanolone",0.809904153,0.8300859,"Not Specific","Not Specific"
"583","B7469","Corticosterone",0.985623003,0.802220825,"Not Specific","Not Specific"
"584","B7488","Pristimerin",0.460063898,0.717159019,"Specific","Not Specific"
"585","B7556","Zearalenone",0.931309904,0.893148963,"Not Specific","Not Specific"
"586","B7587","Puromycin dihydrochloride",0.415335463,0.30211607,"Not Specific","Not Specific"
"587","B7590","Quinidine",0.837060703,0.896082129,"Not Specific","Not Specific"
"588","B7593","Xanthurenic acid",0.843450479,0.837418814,"Not Specific","Not Specific"
"589","B7644","Nigericin sodium salt",0.397763578,0.243452755,"Not Specific","Specific"
"590","B7648","Phosphocreatine disodium salt",0.811501597,0.844751728,"Not Specific","Not Specific"
"591","B7684","Digoxin",0.880191693,0.853551226,"Not Specific","Not Specific"
"592","B7686","3,5-DHBA",0.902555911,0.900481877,"Not Specific","Not Specific"
"593","B7725","Methylmalonate",0.913738019,0.915147706,"Not Specific","Not Specific"
"594","B7775","L-Glutathione Reduced",0.937699681,0.96354494,"Not Specific","Not Specific"
"595","B7781","Urea",1.215654952,0.979677352,"Not Specific","Not Specific"
"596","B7845","Imidazole",0.923322684,1.045673581,"Not Specific","Not Specific"
"597","B7849","Rimantadine Hydrochloride",0.915335463,0.92248062,"Not Specific","Not Specific"
"598","B7857","2-3-Dihydroxybenzoic acid",0.940894569,0.872616803,"Not Specific","Not Specific"
"599","B7858","2-3-Pyridinedicarboxylic acid",0.968051118,0.879949717,"Not Specific","Not Specific"
"600","B7860","2-Deoxyadenosine",0.838658147,0.998742929,"Not Specific","Not Specific"
"601","B7862","2-Deoxycytidine",0.896166134,0.890215797,"Not Specific","Not Specific"
"602","B7863","2-Deoxycytidine 5-monophosphate",0.910543131,0.937146449,"Not Specific","Not Specific"
"603","B7864","2-Deoxy-D-ribose",0.907348243,0.94301278,"Not Specific","Not Specific"
"604","B7865","2-Deoxyinosine",0.966453674,0.937146449,"Not Specific","Not Specific"
"605","B7866","2-Deoxyuridine",0.977635783,0.915147706,"Not Specific","Not Specific"
"606","B7867","3-Hydroxyphenylacetic acid",1.333865815,1.061805992,"Not Specific","Not Specific"
"607","B7868","3-Methylglutaric acid",1.21884984,0.979677352,"Not Specific","Not Specific"
"608","B7869","4-Aminobenzoic acid",1.102236422,0.970877855,"Not Specific","Not Specific"
"609","B7870","4-Hydroxybenzoic acid",1.068690096,0.925413786,"Not Specific","Not Specific"
"610","B7872","5-Methoxytryptamine",1.108626198,0.815420071,"Not Specific","Not Specific"
"611","B7873","6-Hydroxynicotinic acid",0.993610224,0.904881626,"Not Specific","Not Specific"
"612","B7875","Adenosine 5-monophosphate",0.958466454,0.954745443,"Not Specific","Not Specific"
"613","B7876","Adenosine 5-triphosphate",1.110223642,1.007542426,"Not Specific","Not Specific"
"614","B7878","beta-Nicotinamide mononucleotide",1.150159744,0.888749214,"Not Specific","Not Specific"
"615","B7879","Cellobiose",1.130990415,0.9327467,"Not Specific","Not Specific"
"616","B7886","Folinic acid",1.162939297,0.94301278,"Not Specific","Not Specific"
"617","B7891","Itaconic acid",1.099116781,1.07806298,"Not Specific","Not Specific"
"618","B7892","Ketoisovaleric acid",0.868302257,1.062185763,"Not Specific","Not Specific"
"619","B7894","L-Arabinose",0.851030422,1.062185763,"Not Specific","Not Specific"
"620","B7895","L-Arabitol",0.79764475,0.981211961,"Not Specific","Not Specific"
"621","B7896","L-Dihydroorotic acid",0.954661433,0.955808415,"Not Specific","Not Specific"
"622","B7898","Lipoamide",0.725417076,1.062185763,"Not Specific","Not Specific"
"623","B7899","L-Sorbose",0.763101079,0.944694364,"Not Specific","Not Specific"
"624","B7900","Malonic acid",0.888714426,0.974861074,"Not Specific","Not Specific"
"625","B7901","Melibiose",0.775662414,0.912939931,"Not Specific","Not Specific"
"626","B7902","m-Hydroxybenzoic acid",1.048871443,0.922466261,"Not Specific","Not Specific"
"627","B7903","myo-Inositol",0.799214917,0.912939931,"Not Specific","Not Specific"
"628","B7904","N-acetyl D-galactosamine",0.89185476,1.079650701,"Not Specific","Not Specific"
"629","B7905","N-Acetylneuraminic acid",0.901275761,1.097115639,"Not Specific","Not Specific"
"630","B7906","N-carbamoyl-DL-aspartic acid",0.876153091,1.051071712,"Not Specific","Not Specific"
"631","B7908","O-Phosphorylethanolamine",0.887144259,1.047896269,"Not Specific","Not Specific"
"632","B7910","Pyridoxal 5 phosphate",0.813346418,0.990738291,"Not Specific","Not Specific"
"633","B7911","Pyridoxal hydrochloride",0.763101079,0.992326012,"Not Specific","Not Specific"
"634","B7912","Pyridoxine",0.860451423,1.00979095,"Not Specific","Not Specific"
"635","B7914","trans-Aconitic acid",1.02060844,0.992326012,"Not Specific","Not Specific"
"636","B7915","trans-trans Muconic acid",1.05515211,1.06853665,"Not Specific","Not Specific"
"637","B7916","Trehalose",0.888714426,1.014554115,"Not Specific","Not Specific"
"638","B7917","Vanillic acid",0.846319921,1.041545382,"Not Specific","Not Specific"
"639","B7926","Cephalothin",0.916977429,1.125694628,"Not Specific","Not Specific"
"640","B7945","Urolithin A",0.888714426,0.995501455,"Not Specific","Not Specific"
"641","B8206","Hinokitiol",0.811776251,0.611272823,"Not Specific","Not Specific"
"642","B8214","Dihydrotestosterone(DHT)",0.843179588,0.909764488,"Not Specific","Not Specific"
"643","B8227","Avibactam sodium",0.719136408,0.905001323,"Not Specific","Not Specific"
"644","B8228","L-Alanyl-L-Glutamine",0.783513248,0.914527653,"Not Specific","Not Specific"
"645","B8309","Cyclosporine",0.858881256,0.73511511,"Not Specific","Not Specific"
"646","B8311","D-Luciferin sodium salt",1.100686948,0.90182588,"Not Specific","Not Specific"
"647","B8316","Harmine",1.033169774,0.917703096,"Not Specific","Not Specific"
"648","B8317","Zerumbone",1.05515211,0.944694364,"Not Specific","Not Specific"
"649","B8352","Urethane",1.086555447,1.00026462,"Not Specific","Not Specific"
"650","B8359","α-L-Rhamnose monohydrate",0.99077527,1.05901032,"Not Specific","Not Specific"
"651","B8389","Butamben",0.855740922,0.962159301,"Not Specific","Not Specific"
"652","B8392","D-Penicillamine",0.791364082,0.949457528,"Not Specific","Not Specific"
"653","B8452","Steviolbioside",0.786653582,0.838317015,"Not Specific","Not Specific"
"654","B8471","Gambogenic acid",0.274779195,0.644614978,"Specific","Not Specific"
"655","B8486","Roquinimex",0.734838077,0.870071447,"Not Specific","Not Specific"
